event_id,user_id,event_name,event_timestamp,platform,country
EVT000001,USR0006,signup,2026-01-01 08:50:40,Android,France
EVT000002,USR0001,signup,2026-01-01 10:01:47,iOS,Turkey
EVT000003,USR0006,login,2026-01-01 10:35:43,Android,France
EVT000004,USR0006,start_session,2026-01-01 10:40:43,Android,France
EVT000005,USR0001,login,2026-01-01 10:43:47,iOS,Turkey
EVT000006,USR0005,signup,2026-01-01 10:53:31,Android,United Kingdom
EVT000007,USR0004,signup,2026-01-01 13:17:35,iOS,United Kingdom
EVT000008,USR0002,signup,2026-01-01 14:25:07,iOS,France
EVT000009,USR0003,login,2026-01-01 14:31:14,iOS,France
EVT000010,USR0003,start_session,2026-01-01 14:39:14,iOS,France
EVT000011,USR0005,login,2026-01-01 15:02:44,Android,United Kingdom
EVT000012,USR0005,start_session,2026-01-01 15:10:44,Android,United Kingdom
EVT000013,USR0003,complete_session,2026-01-01 15:15:14,iOS,France
EVT000014,USR0005,complete_session,2026-01-01 15:40:44,Android,United Kingdom
EVT000015,USR0005,login,2026-01-01 18:06:43,Android,United Kingdom
EVT000016,USR0005,start_session,2026-01-01 18:17:43,Android,United Kingdom
EVT000017,USR0005,complete_session,2026-01-01 18:57:43,Android,United Kingdom
EVT000018,USR0003,login,2026-01-01 19:46:10,iOS,France
EVT000019,USR0003,signup,2026-01-01 20:34:47,iOS,France
EVT000020,USR0004,login,2026-01-01 22:07:01,iOS,United Kingdom
EVT000021,USR0007,login,2026-01-02 07:05:02,iOS,Turkey
EVT000022,USR0001,login,2026-01-02 07:05:13,iOS,Turkey
EVT000023,USR0001,start_session,2026-01-02 07:15:13,iOS,Turkey
EVT000024,USR0001,complete_session,2026-01-02 07:42:13,iOS,Turkey
EVT000025,USR0011,signup,2026-01-02 07:54:54,iOS,France
EVT000026,USR0012,login,2026-01-02 08:27:42,iOS,United Kingdom
EVT000027,USR0002,login,2026-01-02 08:39:05,iOS,France
EVT000028,USR0002,start_session,2026-01-02 08:49:05,iOS,France
EVT000029,USR0005,login,2026-01-02 08:50:21,Android,United Kingdom
EVT000030,USR0005,start_session,2026-01-02 08:53:21,Android,United Kingdom
EVT000031,USR0002,complete_session,2026-01-02 09:24:05,iOS,France
EVT000032,USR0009,signup,2026-01-02 10:08:05,iOS,France
EVT000033,USR0012,signup,2026-01-02 11:40:52,iOS,United Kingdom
EVT000034,USR0004,login,2026-01-02 12:19:35,iOS,United Kingdom
EVT000035,USR0004,start_session,2026-01-02 12:26:35,iOS,United Kingdom
EVT000036,USR0004,complete_session,2026-01-02 12:48:35,iOS,United Kingdom
EVT000037,USR0005,login,2026-01-02 13:04:53,Android,United Kingdom
EVT000038,USR0010,login,2026-01-02 13:13:17,iOS,United Kingdom
EVT000039,USR0010,signup,2026-01-02 13:28:37,iOS,United Kingdom
EVT000040,USR0008,login,2026-01-02 13:36:34,Android,United Kingdom
EVT000041,USR0008,start_session,2026-01-02 13:42:34,Android,United Kingdom
EVT000042,USR0008,signup,2026-01-02 14:43:48,Android,United Kingdom
EVT000043,USR0007,login,2026-01-02 15:41:13,iOS,Turkey
EVT000044,USR0007,signup,2026-01-02 17:53:59,iOS,Turkey
EVT000045,USR0009,login,2026-01-02 20:06:01,iOS,France
EVT000046,USR0009,start_session,2026-01-02 20:15:01,iOS,France
EVT000047,USR0005,login,2026-01-02 21:05:42,Android,United Kingdom
EVT000048,USR0009,complete_session,2026-01-02 21:08:01,iOS,France
EVT000049,USR0005,start_session,2026-01-02 21:16:42,Android,United Kingdom
EVT000050,USR0005,complete_session,2026-01-02 21:32:42,Android,United Kingdom
EVT000051,USR0008,login,2026-01-02 21:33:45,Android,United Kingdom
EVT000052,USR0008,start_session,2026-01-02 21:43:45,Android,United Kingdom
EVT000053,USR0008,complete_session,2026-01-02 22:33:45,Android,United Kingdom
EVT000054,USR0014,login,2026-01-03 07:14:14,iOS,Germany
EVT000055,USR0014,start_session,2026-01-03 07:17:14,iOS,Germany
EVT000056,USR0016,login,2026-01-03 07:32:56,iOS,Turkey
EVT000057,USR0014,complete_session,2026-01-03 07:33:14,iOS,Germany
EVT000058,USR0016,start_session,2026-01-03 07:35:56,iOS,Turkey
EVT000059,USR0016,complete_session,2026-01-03 08:22:56,iOS,Turkey
EVT000060,USR0013,signup,2026-01-03 09:25:57,iOS,United Kingdom
EVT000061,USR0013,login,2026-01-03 11:07:48,iOS,United Kingdom
EVT000062,USR0013,start_session,2026-01-03 11:10:48,iOS,United Kingdom
EVT000063,USR0014,signup,2026-01-03 11:21:57,iOS,Germany
EVT000064,USR0004,login,2026-01-03 11:31:59,iOS,United Kingdom
EVT000065,USR0004,start_session,2026-01-03 11:40:59,iOS,United Kingdom
EVT000066,USR0014,login,2026-01-03 12:58:58,iOS,Germany
EVT000067,USR0017,signup,2026-01-03 13:15:47,iOS,Germany
EVT000068,USR0017,login,2026-01-03 14:12:53,iOS,Germany
EVT000069,USR0005,login,2026-01-03 14:21:49,Android,United Kingdom
EVT000070,USR0017,start_session,2026-01-03 14:22:53,iOS,Germany
EVT000071,USR0005,start_session,2026-01-03 14:31:49,Android,United Kingdom
EVT000072,USR0016,signup,2026-01-03 14:33:25,iOS,Turkey
EVT000073,USR0017,complete_session,2026-01-03 14:43:53,iOS,Germany
EVT000074,USR0005,complete_session,2026-01-03 14:55:49,Android,United Kingdom
EVT000075,USR0015,signup,2026-01-03 17:35:03,Android,Turkey
EVT000076,USR0012,login,2026-01-03 17:59:51,iOS,United Kingdom
EVT000077,USR0012,start_session,2026-01-03 18:11:51,iOS,United Kingdom
EVT000078,USR0012,complete_session,2026-01-03 18:54:51,iOS,United Kingdom
EVT000079,USR0015,login,2026-01-03 21:53:14,Android,Turkey
EVT000080,USR0008,login,2026-01-03 22:05:57,Android,United Kingdom
EVT000081,USR0008,start_session,2026-01-03 22:06:57,Android,United Kingdom
EVT000082,USR0016,login,2026-01-03 22:50:30,iOS,Turkey
EVT000083,USR0008,complete_session,2026-01-03 22:53:57,Android,United Kingdom
EVT000084,USR0007,login,2026-01-03 22:56:40,iOS,Turkey
EVT000085,USR0007,start_session,2026-01-03 23:07:40,iOS,Turkey
EVT000086,USR0003,login,2026-01-04 07:05:41,iOS,France
EVT000087,USR0003,start_session,2026-01-04 07:13:41,iOS,France
EVT000088,USR0019,signup,2026-01-04 07:24:37,iOS,Turkey
EVT000089,USR0023,signup,2026-01-04 07:29:29,Android,Turkey
EVT000090,USR0003,complete_session,2026-01-04 07:44:41,iOS,France
EVT000091,USR0022,login,2026-01-04 08:24:24,iOS,United Kingdom
EVT000092,USR0022,start_session,2026-01-04 08:25:24,iOS,United Kingdom
EVT000093,USR0022,complete_session,2026-01-04 08:56:24,iOS,United Kingdom
EVT000094,USR0020,signup,2026-01-04 11:11:49,iOS,Germany
EVT000095,USR0016,login,2026-01-04 12:10:23,iOS,Turkey
EVT000096,USR0016,start_session,2026-01-04 12:12:23,iOS,Turkey
EVT000097,USR0010,login,2026-01-04 12:23:20,iOS,United Kingdom
EVT000098,USR0010,start_session,2026-01-04 12:25:20,iOS,United Kingdom
EVT000099,USR0021,login,2026-01-04 12:42:42,Android,United Kingdom
EVT000100,USR0016,complete_session,2026-01-04 12:53:23,iOS,Turkey
